drug_name,num_prescriber,total_cost
HARVONI,5202,5992222566
CRESTOR,138153,2702805775
LANTUS SOLOSTAR,101193,2236432749
ADVAIR DISKUS,120003,2037745098
SPIRIVA,108318,1965535199
JANUVIA,94469,1909673355
REVLIMID,5449,1886777606
NEXIUM,107816,1760541523
LANTUS,87078,1622378857
LYRICA,103259,1526227833
XARELTO,76788,1296872211
ABILIFY,33467,1291006706
COPAXONE,5366,1235904378
ENBREL,6945,1226249447
RENVELA,14903,1167134762
ZETIA,79350,1054271464
LEVEMIR FLEXTOUCH,56820,1042094236
SYMBICORT,82315,1022516027
HUMIRA PEN,8123,1012772517
GLEEVEC,4493,985391566
SENSIPAR,14135,866538038
NAMENDA XR,48210,859856334
NOVOLOG FLEXPEN,44960,848831269
OXYCONTIN,39688,824161728
TECFIDERA,3154,792175132
ELIQUIS,45457,781986320
LEVOTHYROXINE SODIUM,226668,765088690
SOVALDI,1246,715153842
HYDROCODONE-ACETAMINOPHEN,274192,708905991
ATORVASTATIN CALCIUM,245665,700170690
DULOXETINE HCL,141381,685161031
RESTASIS,26743,676366191
ARIPIPRAZOLE,28058,637674625
TRUVADA,6568,637231163
ZYTIGA,3166,637156311
XTANDI,2765,604956474
INVEGA SUSTENNA,8236,603780166
METOPROLOL SUCCINATE,190412,589402718
NAMENDA,49409,534093235
ATRIPLA,5220,528889618
PROAIR HFA,167130,512142531
LATUDA,14334,500749100
VESICARE,49251,494073596
HUMALOG KWIKPEN U-100,28658,489965168
OXYCODONE-ACETAMINOPHEN,159456,488567953
SEROQUEL XR,20942,487067955
GABAPENTIN,248399,475415607
NOVOLOG,33583,452098285
IMBRUVICA,2193,445294982
PRADAXA,34556,440371341
OMEPRAZOLE,248309,437539177
LETAIRIS,1539,427119811
VICTOZA 3-PAK,17306,424999057
TAMSULOSIN HCL,156422,410733625
PRAVASTATIN SODIUM,169043,408341466
LUMIGAN,24971,402372442
EXELON,23328,398663037
POTASSIUM CHLORIDE,166376,396293764
TRADJENTA,29899,394694254
CELECOXIB,75477,387617018
PREZISTA,5119,383896016
LEVEMIR,28645,383338140
DEXILANT,40948,370556081
ISENTRESS,5240,367244228
JANUMET,29018,364948454
HUMALOG,30243,357654126
FENOFIBRATE,95860,348065478
COMBIVENT RESPIMAT,40350,342248083
RANEXA,23312,336031680
GILENYA,1629,327682662
BENICAR,44764,324298048
FORTEO,5158,323047504
INVOKANA,22612,316124031
TRACLEER,1414,310156155
TRAVATAN Z,26665,304138313
TARCEVA,2150,301248714
LIDOCAINE,28420,298019642
FENTANYL,61034,295687362
CLOBETASOL PROPIONATE,35203,293119009
HUMIRA,3032,292875998
MORPHINE SULFATE ER,55645,287800760
BYSTOLIC,50525,277320863
VALSARTAN,93234,275789623
HYDROXYCHLOROQUINE SULFATE,21912,271948503
NOVOLOG MIX 70-30 FLEXPEN,15055,269557800
H.P. ACTHAR,300,266197661
JAKAFI,1362,262592905
AMLODIPINE BESYLATE,247668,259497717
MYRBETRIQ,20460,258659165
DIVALPROEX SODIUM ER,39009,258236369
AVONEX PEN,2015,257657966
GAMMAGARD LIQUID,1010,257127360
SIMVASTATIN,218257,256910436
OMEGA-3 ACID ETHYL ESTERS,39518,253261440
OXYCODONE HCL,99958,252325231
VIMPAT,10214,251896082
LISINOPRIL,257418,248924927
AUBAGIO,1227,247741622
STRIBILD,2588,246401871
CREON,11054,244194982
RISPERDAL CONSTA,7693,238286972
AVONEX,2182,236227514
XIFAXAN,6703,233412896
PREMARIN,45276,230642917
INVEGA,7649,228816120
POMALYST,912,228198873
SYNTHROID,94163,228170525
RALOXIFENE HCL,38174,222866189
REYATAZ,4113,221994341
AFINITOR,1166,220634537
LOSARTAN POTASSIUM,199644,213653934
CLOPIDOGREL,177471,209582241
REBIF,1795,208723101
WELCHOL,17689,204715007
OPSUMIT,783,202972235
TIVICAY,2959,194038844
MULTAQ,11702,193593505
EPZICOM,3584,191124967
ESBRIET,958,190959732
TRIUMEQ,2093,189030842
ADCIRCA,1694,186742673
LINZESS,19873,186264786
COMBIGAN,19880,185459052
VOLTAREN,55065,181825706
AVODART,24479,178836094
BETASERON,1457,178421699
WARFARIN SODIUM,165914,178032894
BENICAR HCT,26987,176506660
QUETIAPINE FUMARATE,104478,175651113
TASIGNA,1228,175208542
METFORMIN HCL,202514,174484422
PANTOPRAZOLE SODIUM,187285,171809470
ONGLYZA,17846,171721338
SPRYCEL,1174,169053014
DONEPEZIL HCL,117198,168770258
AMITIZA,20651,167688902
IBRANCE,883,166944518
VYTORIN,22475,164735067
XENAZINE,741,160528446
METHOTREXATE,24613,158232155
AZILECT,6094,157907948
SUBOXONE,7453,157756383
NORVIR,6264,154523335
DULERA,18137,152743187
PREDNISOLONE ACETATE,21120,152005863
AMPYRA,2050,149493001
ALPHAGAN P,15474,148921491
COMPLERA,2162,148240314
FLUTICASONE PROPIONATE,175268,145823765
ZOSTAVAX,13883,142624719
ESOMEPRAZOLE MAGNESIUM,26222,141974315
MONTELUKAST SODIUM,136327,141038642
OFEV,793,139101914
FLOVENT HFA,24668,137210717
METOPROLOL TARTRATE,212226,137129622
SUBSYS,359,136848769
METFORMIN HCL ER,89335,135039240
FUROSEMIDE,228976,134436246
ULORIC,17591,134150666
EFFIENT,12031,133362821
ENOXAPARIN SODIUM,14894,132799542
XYREM,707,131940939
HUMALOG MIX 75-25 KWIKPEN,7912,131215120
ANDROGEL,8959,131087388
VIREAD,4771,130688351
OXYBUTYNIN CHLORIDE ER,68629,129873351
ORENCIA,1521,129870152
ALLOPURINOL,142552,129240321
BD ULTRA-FINE PEN NEEDLE,73991,126453581
DOXYCYCLINE HYCLATE,73326,125563310
NASONEX,22830,125002917
