drug_name,num_prescriber,total_cost
HARVONI,5221,5992222543.539986
CRESTOR,147240,2702805850.209984
LANTUS SOLOSTAR,106319,2236432709.5400157
ADVAIR DISKUS,126902,2037745067.9199948
SPIRIVA,114291,1965535299.6499887
JANUVIA,99015,1909673299.4200075
REVLIMID,5486,1886777606.6600027
NEXIUM,114101,1760541575.8699799
LANTUS,91164,1622379042.410008
LYRICA,108926,1526227866.2200015
XARELTO,80746,1296872211.1300132
ABILIFY,34155,1291006632.2100072
COPAXONE,5395,1235904394.0400002
ENBREL,6992,1226249410.920003
RENVELA,15102,1167134748.999999
ZETIA,83232,1054271305.7699949
LEVEMIR FLEXTOUCH,58817,1042094293.3599985
SYMBICORT,86140,1022516154.490002
HUMIRA PEN,8176,1012772528.6299983
GLEEVEC,4517,985391562.0899996
SENSIPAR,14311,866538060.7199987
NAMENDA XR,49881,859856245.7099997
NOVOLOG FLEXPEN,46217,848831267.7800095
OXYCONTIN,40852,824161725.1599911
TECFIDERA,3165,792175116.4900035
ELIQUIS,47149,781986260.7600073
LEVOTHYROXINE SODIUM,245653,765088656.5800004
SOVALDI,1248,715153858.0799998
HYDROCODONE-ACETAMINOPHEN,306531,708906012.0200061
ATORVASTATIN CALCIUM,267287,700170757.1100148
DULOXETINE HCL,150320,685161093.2099955
RESTASIS,27450,676366284.0000006
ARIPIPRAZOLE,28531,637674675.5400007
TRUVADA,6599,637231155.4699993
ZYTIGA,3179,637156286.8400009
XTANDI,2781,604956474.4000006
INVEGA SUSTENNA,8279,603780166.2200007
METOPROLOL SUCCINATE,205242,589402922.5899968
NAMENDA,51128,534093167.8500033
ATRIPLA,5241,528889606.4400008
PROAIR HFA,178476,512142633.7000003
LATUDA,14467,500749073.0500012
VESICARE,50937,494073741.25000113
HUMALOG KWIKPEN U-100,29229,489965262.059997
OXYCODONE-ACETAMINOPHEN,172138,488567855.40000325
SEROQUEL XR,21238,487068004.8899988
GABAPENTIN,270206,475415365.1799909
NOVOLOG,34398,452098171.51999897
IMBRUVICA,2197,445294996.1900002
PRADAXA,35613,440371338.13000184
